MB=04;MS=06;
;;
 ; ; 
 ;Petr;Pavel
0.02;24,83;23,83
cas;0,74;0,59
0.04;37,89;36,88
cas;0,4;0,34
0.06;46,94;45,09
cas;0,71;0,5
0.08;53,4;50,61
cas;1,07;0,73
0.1;57,86;51,41
cas;1,67;0,98
0.12;62,4;54,76
cas;2,31;1,26
0.14;63,69;54,96
cas;2,79;1,52
0.16;66,79;55,36
cas;4,39;1,67
0.18;68,54;54,08
cas;6,32;1,88
0.2;69,55;53,87
cas;8,75;2,29
0.22;70,42;51,13
cas;10,06;2,39
;;
;;
MS=05;MB=05;
;;
 ;Petr;Pavel
0.02;18,88;18,21
cas;0,8;0,63
0.04;27,28;26,46
cas;0,48;0,37
0.06;35,49;33,57
cas;0,57;0,39
0.08;41,15;35,33
cas;0,81;0,6
0.1;44,15;37,22
cas;1,33;0,73
0.12;47,42;38,08
cas;1,84;1,02
0.14;50;38,9
cas;2,49;1,22
0.16;52,13;38,58
cas;3,41;1,31
0.18;53,69;37,24
cas;4,58;1,45
0.2;55,77;36,77
cas;5,34;1,69
0.22;57,08;35,94
cas;8,37;1,72
;;
;;
MS=04;MB=06;
;;
 ;Petr;Pavel
0.02;10,51;10,6
cas;1,23;0,85
0.04;15,15;14,48
cas;0,83;0,47
0.06;21,1;17,11
cas;0,56;0,36
0.08;23;18,03
cas;0,66;0,39
0.1;26,93;20,57
cas;0,87;0,45
0.12;28,45;20,3
cas;1,11;0,52
0.14;31,52;20,89
cas;1,67;0,61
0.16;31,74;21,23
cas;2,08;0,75
0.18;33,38;19,59
cas;2,62;0,76
0.2;35,96;19,16
;4,6;0,88
0.22;35,7;18,57
cas;4,67;0,92
